爱赛因斯（北京）科技有限公司,北京,Java开发工程师,1天前发布,15k-25k,1-3年,15-50人,"搞事情！,搞事情！,搞事情！,搞事情！",朝阳区
北明软件有限公司,北京,java开发工程师,3天前发布,15k-22k,3-5年,2000人以上,13薪 福利好双休 定期涨薪工作稳定,西城区
深圳市爱贝信息技术有限公司,北京,Java研发工程师 -,3天前发布,15K-30K,1-3年,150-500人,"公司发展,团队氛围,个人发展,薪资福利",朝阳区
北京领创智信科技有限公司,北京,Java,2018-11-16,18k-32k,1-3年,500-2000人,"期权奖金,创业团队,海外市场,工程师文化",东城区
北京云中融信网络科技有限公司,北京,Java 研发工程师,09:59发布,10k-20k,3-5年,150-500人,领导好 环境好 发展空间大,朝阳区
北京惠福康信息咨询有限公司,北京,Java开发工程师,09:52发布,16k-22k,3-5年,50-150人,"成功型老板,前景行业,快乐工作,成长飞速",朝阳区
杭州有赞科技有限公司,北京,Java研发工程师,1天前发布,18k-36k,5-10年,500-2000人,团队氛围好，薪资福利佳,朝阳区
北京拉勾网络技术有限公司,北京,Java开发工程师,2018-11-08,15k-30k,3-5年,500-2000人,"技术挑战与,个人成长,空间",海淀区
沪江教育科技（上海）股份有限公司,北京,BJ-Java研发工程师 (MJ001274),10:12发布,15k-30k,3-5年,500-2000人,全面福利 技术大牛 弹性工作,海淀区
中信百信银行股份有限公司,北京,Java开发工程师,1天前发布,20k-40k,3-5年,150-500人,六险一金 足够的成长空间 大牛聚集地,朝阳区
北京懒猫联银科技有限公司,北京,中级java工程师,09:38发布,15k-23k,不限,150-500人,"带薪年假,带薪病假,六险一金,年底奖金",朝阳区
多点生活（中国）网络科技有限公司,北京,Java开发工程师,2天前发布,25k-30k,5-10年,500-2000人,"行业独角兽,六险一金,工作居住证",海淀区
中国搜索信息科技股份有限公司,北京,Java开发工程师,2天前发布,10k-18k,1-3年,500-2000人,五险一金、补充医疗、节日福利、各种补贴,东城区
深圳天宏迅联科技发展有限公司,北京,中级JAVA开发工程师,09:20发布,15k-25k,3-5年,50-150人,"福利多多,项目前景好,大咖云集,团队氛围好",海淀区
厦门十点文化传播有限公司,北京,JAVA研发工程师,3天前发布,20k-35k,3-5年,150-500人,"成就感,价值感,用心做内容,做擅长的事",朝阳区
弘成科技发展有限公司,北京,java,3天前发布,10k-14k,3-5年,2000人以上,"弹性工作,周末双休,年终奖多,工作气氛好",东城区
北京国双科技有限公司,北京,资深JAVA研发工程师,10:03发布,20k-30k,5-10年,500-2000人,"上市大数据,年终奖金，技术牛人多",海淀区
北京趣拿软件科技有限公司,北京,Java开发工程师-机票事业部,10:01发布,20k-25k,1-3年,2000人以上,"核心模块,技术氛围浓,扁平化,16薪+",海淀区
北京云中融信网络科技有限公司,北京,JAVA开发工程师,09:59发布,28k-35k,3-5年,150-500人,领导好 环境好 发展空间大,朝阳区
北京影谱科技股份有限公司,北京,JAVA开发工程师,2018-11-12,15k-20k,5-10年,50-150人,"年底双薪,福利好,团队合作,领导好",东城区
算话征信有限公司,北京,java开发工程师,2018-11-16,15k-20k,3-5年,50-150人,"股权期权,绩效奖金,福利津贴,拓展旅游",朝阳区
北京精友世纪软件技术有限公司,北京,java开发工程师,2018-11-16,13k-18k,3-5年,150-500人,大平台,海淀区
广州友财信息科技有限公司,北京,Java开发工程师,1天前发布,10k-20k,3-5年,150-500人,"java,软件开发,手机支付",丰台区
北京闯易贷网联信息技术有限责任公司,北京,java开发工程师,2018-11-16,10k-15k,1-3年,50-150人,五险一金 节日福利 餐补,海淀区
北京快如科技有限公司,北京,Java高级开发工程师,12:09发布,15k-30k,3-5年,50-150人,"六险一金,技术大牛,福利超多,氛围好",朝阳区
北京四方启点科技有限公司,北京,初级Java开发工程师,10:40发布,9k-13k,1-3年,150-500人,福利好、待遇佳、地铁周边,海淀区
新奥阳光易采科技有限公司,北京,Java工程师,2018-11-13,18k-30k,5-10年,2000人以上,"B2B,互联网+,福利多,发展潜力大",朝阳区
北京福佑多多信息技术有限公司,北京,高级Java工程师,11:32发布,20k-30k,3-5年,500-2000人,"股票期权,七险一金,年底双薪,节日福利等",海淀区
北京云动数字媒体技术有限公司,北京,高级JAVA开发工程师,10:38发布,20k-40k,5-10年,150-500人,行业领先、知名VC、精英团队、期权奖励,朝阳区
北京大圣互动科技有限公司,北京,Java开发工程师（中高级）,09:59发布,15k-25k,3-5年,15-50人,"海外业务,小米投资,千万用户",朝阳区
浙江新华移动传媒股份有限公司,北京,Java工程师-北京,1天前发布,15k-25k,3-5年,50-150人,"央媒平台,主流影响,核心项目,福利齐全",西城区
北京趣拿软件科技有限公司,北京,资深Java工程师,11:56发布,25k-40k,5-10年,2000人以上,"发展空间,核心业务,薪资福利佳,大牛多",海淀区
北京基调网络股份有限公司,北京,java研发工程师（探针）,1天前发布,25k-35k,5-10年,150-500人,"上市公司,带薪年假,地铁周边,不打卡",朝阳区
达摩英时（北京）网络科技有限公司,北京,JAVA高级研发工程师,1天前发布,25k-50k,5-10年,50-150人,精英团队 国际化,东城区
上海卓赞教育科技有限公司,北京,Java开发工程师,2018-11-09,18k-35k,3-5年,500-2000人,行业top 团队大牛 福利优厚,朝阳区
中寰卫星导航通信有限公司,北京,Java软件工程师,11:34发布,20k-40k,5-10年,500-2000人,"六险一金,弹性工作,免费班车,定期体检",海淀区
世纪保众（北京）网络科技有限公司,北京,JAVA高级开发,10:38发布,15k-25k,5-10年,50-150人,行业领先；环境宽松；七险一金；全额公积金,大兴区
北京至信普林科技有限公司,北京,高级Java开发工程师,09:17发布,15k-30k,3-5年,50-150人,发展空间大,海淀区
浙江新华移动传媒股份有限公司,北京,Java工程师-北京,1天前发布,15k-20k,3-5年,50-150人,"央媒平台,主流影响,技术导向,福利齐全",西城区
中电智绘系统技术有限公司,北京,Java开发工程师,1天前发布,15k-25k,3-5年,150-500人,良好氛围团队，六险一金，国企，餐补交通补,昌平区
云势天下（北京）软件有限公司,北京,JAVA开发工程师,3天前发布,22k-35k,3-5年,150-500人,"外企环境,企业软件,福利优渥,简单自主",朝阳区
国美控股集团有限公司,北京,java开发工程师,2018-11-10,20k-30k,3-5年,2000人以上,14薪,朝阳区
北京言之有物科技有限公司,北京,Java开发工程师,10:41发布,14k-28k,不限,50-150人,"工作氛围好,五险一金,挑战大,扁平管理",朝阳区
明亚保险经纪股份有限公司,北京,Java开发工程师,10:12发布,15k-30k,3-5年,500-2000人,"互联网金融,年度旅游,半年考评奖,学习机会多",朝阳区
北京世纪天橙科技有限公司,北京,Java开发工程师,09:43发布,30k-50k,5-10年,150-500人,领导nice，发展潜力好,朝阳区
北京灏博大数据科技有限公司,北京,高级Java开发工程师,09:22发布,15k-30k,3-5年,15-50人,发展空间大，集团资金支持,海淀区
北京趣拿软件科技有限公司,北京,java工程师-火车票J12220,10:34发布,20k-40k,3-5年,2000人以上,"平台大,上市公司,16薪起",海淀区
深圳天宏迅联科技发展有限公司,北京,JAVA开发高级工程师,09:20发布,25k-35k,5-10年,50-150人,"大咖云集,尊重技术,福利多多,产品前景牛",海淀区
北京牡丹电子集团有限责任公司,北京,JAVA开发工程师,2018-11-16,12k-24k,3-5年,150-500人,"带薪年假,五险一金,节日福利",海淀区
北京盈衍网络科技有限公司,北京,高级JAVA开发工程师,10:15发布,20k-30k,5-10年,50-150人,全明星投资，发展空间大,朝阳区
北京基调网络股份有限公司,北京,java研发工程师（报表）,1天前发布,12k-20k,3-5年,150-500人,"上市公司,带薪年假,地铁周边,不打卡",朝阳区
北京瓴岳信息技术有限公司,北京,Java工程师,11:25发布,18k-35k,1-3年,150-500人,"14薪,六险一金,弹性工作制,午餐晚餐",朝阳区
北京会通教育科技有限公司,北京,中高级Java工程师,10:47发布,15k-25k,1-3年,150-500人,"业务量百万,高额绩效奖,上升空间大,互联网氛围",海淀区
澄迈优目科技有限公司北京信息技术中心,北京,Java工程师,10:19发布,15k-25k,1-3年,50-150人,"产品前景好,扁平化管理,硅谷文化,前沿技术",朝阳区
沣邦融资租赁（上海）有限公司,北京,Java高级开发工程师,09:57发布,25k-50k,5-10年,500-2000人,"五险一金,餐补,交通补贴,带薪年假",丰台区
苏州美房云客软件科技股份有限公司,北京,Java开发工程师,09:38发布,15k-25k,3-5年,150-500人,"五险一金,餐补,员工旅游,加班费",朝阳区
深圳市众乐网视文化传播有限公司,北京,java开发工程师,09:20发布,15k-30k,3-5年,150-500人,研发中心,海淀区
社会扶贫网科技有限公司,北京,高级Java工程师,1天前发布,20k-25k,5-10年,50-150人,"千万级用户,高并发,大数据,核心开发",朝阳区
北京拉勾网络技术有限公司,北京,高级java开发工程师,2天前发布,20k-40k,5-10年,500-2000人,技术挑战、美味果盘、运动健身,
北京心流慧估科技有限公司,北京,高级java开发工程师,10:46发布,20k-40k,5-10年,15-50人,"五险一金,年底双薪,带薪年假,节日福利",朝阳区
北京暴风成信科技有限公司,北京,高级Java工程师,11:22发布,25k-45k,5-10年,500-2000人,"带薪年假,年终奖金,午餐补助,交通便利",海淀区
北京趣拿软件科技有限公司,北京,java开发工程师-机票事业部J10797,10:01发布,20k-35k,3-5年,2000人以上,"16薪酬,互联网文化氛围",海淀区
北京瓴岳信息技术有限公司,北京,Java工程师,11:25发布,16k-25k,1-3年,150-500人,"十四薪,两餐水果,弹性工作制,六险一金",朝阳区
苏州美房云客软件科技股份有限公司,北京,Java,09:38发布,15k-30k,3-5年,150-500人,"五险一金,餐补,福利旅游,定期体检",朝阳区
北京四方启点科技有限公司,北京,中级Java开发工程师,10:40发布,16k-21k,3-5年,150-500人,福利好、待遇佳、地铁周边,海淀区
北京雪球信息科技有限公司,北京,高级Java开发工程师,10:40发布,15k-30k,3-5年,150-500人,"六险一金,免费午餐,扁平管理,成长空间大",朝阳区
易联汇华（北京）科技有限公司,北京,高级JAVA开发工程师,1天前发布,30k-40k,3-5年,500-2000人,"13薪,五险一金,美女如云,了解一下",朝阳区
新华世纪电子商务有限公司,北京,JAVA开发工程师,1天前发布,13k-25k,3-5年,50-150人,"7小时工作,丰厚年终奖,氛围好,补贴多",大兴区
天道计然（北京）信息科技有限责任公司,北京,java高级研发工程师,1天前发布,18k-34k,5-10年,2000人以上,"技术大牛,分布式,微服务,技术分享",朝阳区
新湃科技（宁波）有限公司,北京,中级java,1天前发布,13k-16k,1-3年,150-500人,行业风口、团队大牛、环境优质、超正经公司,朝阳区
中信百信银行股份有限公司,北京,Java开发工程师,2018-11-12,20k-40k,1-3年,150-500人,"竞争性待遇,完善的福利",朝阳区
北京爱天天投投资管理有限公司,北京,高级java开发工程师,1天前发布,25k-50k,3-5年,50-150人,"精英团队,六险一金,区块链项目,奖金丰厚",海淀区
北京拉勾网络技术有限公司,北京,Java高级开发工程师,1天前发布,20k-30k,3-5年,500-2000人,"发展空间大,弹性工作制",海淀区
全时云商务服务股份有限公司,北京,高级JAVA开发工程师,1天前发布,25k-35k,5-10年,500-2000人,"地铁周边,发展空间大",朝阳区
北京牛投邦科技咨询有限公司,北京,高级Java工程师,09:24发布,18k-35k,5-10年,150-500人,试用期全薪、快速发展、年度旅游、弹性工作,朝阳区
北京赛时科技有限公司,北京,高级java开发工程师,1天前发布,25k-50k,5-10年,15-50人,带薪年假上升通道期权激励,海淀区
北京瓴岳信息技术有限公司,北京,Java工程师,11:25发布,18k-35k,1-3年,150-500人,"14薪,六险一金,弹性工作制,午餐晚餐",朝阳区
北京趣拿软件科技有限公司,北京,Java高级工程师,11:56发布,20k-35k,3-5年,2000人以上,弹性工作制、16薪、补充商业医疗保险,海淀区
北京四方启点科技有限公司,北京,高级Java开发工程师,10:40发布,26k-33k,5-10年,150-500人,福利好、待遇佳、地铁周边,海淀区
启迪云控（北京）科技有限公司,北京,Java开发工程师,2天前发布,20k-30k,3-5年,50-150人,"带薪年假,年底双薪,弹性工作,八险一金",海淀区
北京深睿博联科技有限责任公司,北京,java高级开发,09:45发布,20k-40k,5-10年,150-500人,"大牛,人性化管理,靠谱团队,技术氛围好",海淀区
北京华夏创新科技有限公司,北京,中/高级JAVA工程师,1天前发布,20k-30k,3-5年,50-150人,"研发大牛多,薪资待遇高,福利保障全,公司前景好",海淀区
北京颐顺太和软件科技有限公司,北京,Java开发工程师,1天前发布,20k-30k,3-5年,2000人以上,"大咖带队,爆款产品,平台太大,背景雄厚",海淀区
京北方信息技术股份有限公司,北京,Java开发工程师,1天前发布,10K-20K,3-5年,2000人以上,银行项目，环境好，餐补，额外绩效，,丰台区
银盈通支付有限公司,北京,高级Java工程师,1天前发布,15k-20k,3-5年,150-500人,五险一金，带薪年假，办公氛围佳，技术大牛,朝阳区
达摩英时（北京）网络科技有限公司,北京,高级JAVA开发工程师,3天前发布,25k-50k,3-5年,50-150人,"蓝海产品,大牛老板,薪资给力",东城区
旅悦（天津）酒店管理有限公司,北京,java开发工程师,2018-11-17,18k-36k,5-10年,500-2000人,"六险一金,带薪年假,年终体检,地铁周边",海淀区
北京走出趣科技发展有限公司,北京,java高级开发工程师,1天前发布,20k-40k,5-10年,150-500人,国际视野，国内首家，大牛云集，行业前景好,海淀区
北京舟济科技有限公司,北京,高级java开发工程师,1天前发布,35k-50k,5-10年,500-2000人,期权 15薪 技术大牛带队,东城区
全时云商务服务股份有限公司,北京,JAVA高级工程师,1天前发布,15k-30k,5-10年,500-2000人,发展空间大福利待遇好团队氛围佳 地铁周边,朝阳区
北京星云比特科技有限公司,北京,高级java开发工程师,12:15发布,28k-46k,3-5年,15-50人,区块链，氛围融洽，自由，不打卡，加班少,海淀区
北京瓴岳信息技术有限公司,北京,Java工程师,11:25发布,20k-35k,1-3年,150-500人,"弹性工作制,六险一金,14薪,午餐晚餐",朝阳区
北京趣拿软件科技有限公司,北京,资深JAVA开发工程师,10:01发布,20k-40k,5-10年,2000人以上,"五险一金,互联网,成长空间大,带薪年假",海淀区
北京舟济科技有限公司,北京,Java开发工程师,3天前发布,20k-40k,不限,500-2000人,"领导nic,大牛多,各种出国游,下午茶丰富",东城区
极晨智道信息技术（北京）有限公司,北京,高级Java开发,10:52发布,14k-20k,5-10年,150-500人,"五险一金,带薪年假,年度体检,固定补助",海淀区
哈里伯顿（中国）能源服务有限公司,北京,Java 工程师,1天前发布,10k-20k,不限,2000人以上,纯外资，正规五险一金，大平台,海淀区
北京卡路里科技有限公司,北京,高级Java开发工程师,3天前发布,20k-40k,3-5年,500-2000人,"股票期权,七险一金,年底奖金,工作居住证",东城区
北京红赢科技有限公司,北京,java高级软件工程师,11:26发布,25k-50k,5-10年,50-150人,"科技创新,五险一金,晋升空间,地铁周边",海淀区
北京国双科技有限公司,北京,JAVA资深开发工程师,10:36发布,20k-30k,3-5年,500-2000人,大数据上市公司 技术实力强 薪资福利好,海淀区
北京智慧星光信息技术有限公司,北京,高级Java开发工程师,09:03发布,15k-20k,3-5年,500-2000人,行业第一,海淀区
北京基调网络股份有限公司,北京,java研发工程师（私有化）,1天前发布,15k-30k,1-3年,150-500人,"上市公司,地铁周边,带薪年假,不打卡",朝阳区
新华书店总店,北京,高级Java工程师,1天前发布,15k-30k,3-5年,500-2000人,"免费工作餐,五险二金,年终奖金,定期体检",西城区
杉数科技（北京）有限公司,北京,高级JAVA工程师,1天前发布,20k-30k,5-10年,50-150人,"六险一金,大牛团队,前景好,团队好",东城区
